symbol,open_time,probability,side_no_veto,risk_veto,side_with_veto,realized_6h_return,net_return_no_veto,net_return_with_veto
SOLUSDT,2025-11-15 16:00:00+00:00,0.496022770292,0,0,0,-0.0203838610255,0,0
SOLUSDT,2025-11-15 17:00:00+00:00,0.50325925943,0,0,0,-0.0267010596765,0,0
SOLUSDT,2025-11-15 18:00:00+00:00,0.494018640962,0,0,0,-0.0228070175439,0,0
SOLUSDT,2025-11-15 19:00:00+00:00,0.489398601431,0,0,0,-0.0210904986951,0,0
SOLUSDT,2025-11-15 20:00:00+00:00,0.481853291983,0,0,0,0.00299081392865,0,0
SOLUSDT,2025-11-15 21:00:00+00:00,0.474495903576,0,0,0,0.0176284357462,0,0
SOLUSDT,2025-11-15 22:00:00+00:00,0.475533358523,0,0,0,0.010797282803,0,0
SOLUSDT,2025-11-15 23:00:00+00:00,0.469507879772,0,0,0,0.0132511997708,0,0
SOLUSDT,2025-11-16 00:00:00+00:00,0.470994635269,0,0,0,0.0174506283662,0,0
SOLUSDT,2025-11-16 01:00:00+00:00,0.471429915364,0,0,0,0.0254359417784,0,0
SOLUSDT,2025-11-16 02:00:00+00:00,0.494694691563,0,0,0,0.00965566205183,0,0
SOLUSDT,2025-11-16 03:00:00+00:00,0.503429583284,0,0,0,0.0131513823093,0,0
SOLUSDT,2025-11-16 04:00:00+00:00,0.497179984465,0,0,0,0.0111063950198,0,0
SOLUSDT,2025-11-16 05:00:00+00:00,0.499727918226,0,0,0,-0.0108864696734,0,0
SOLUSDT,2025-11-16 06:00:00+00:00,0.502230172593,0,0,0,-0.0115753811406,0,0
SOLUSDT,2025-11-16 07:00:00+00:00,0.508403274133,0,0,0,-0.0199564331389,0,0
SOLUSDT,2025-11-16 08:00:00+00:00,0.495677134068,0,0,0,-0.012516700654,0,0
SOLUSDT,2025-11-16 09:00:00+00:00,0.499517587009,0,0,0,-0.0405471421593,0,0
SOLUSDT,2025-11-16 10:00:00+00:00,0.496581938112,0,0,0,-0.0503743091024,0,0
SOLUSDT,2025-11-16 11:00:00+00:00,0.478114274562,0,0,0,-0.0292309891366,0,0
SOLUSDT,2025-11-16 12:00:00+00:00,0.481155788889,0,0,0,-0.0299914310197,0,0
SOLUSDT,2025-11-16 13:00:00+00:00,0.475657138813,0,0,0,-0.0189288018929,0,0
SOLUSDT,2025-11-16 14:00:00+00:00,0.482199606751,0,0,0,-0.0269173253578,0,0
SOLUSDT,2025-11-16 15:00:00+00:00,0.462712747334,0,0,0,-0.00763747454175,0,0
SOLUSDT,2025-11-16 16:00:00+00:00,0.45720826586,0,0,0,0.011640757386,0,0
SOLUSDT,2025-11-16 17:00:00+00:00,0.473311372437,0,0,0,0.00986527276743,0,0
SOLUSDT,2025-11-16 18:00:00+00:00,0.472566294316,0,0,0,0.0245141342756,0,0
SOLUSDT,2025-11-16 19:00:00+00:00,0.480815227796,0,0,0,0.0104509245049,0,0
SOLUSDT,2025-11-16 20:00:00+00:00,0.474813229963,0,0,0,0.0163922429565,0,0
SOLUSDT,2025-11-16 21:00:00+00:00,0.485321251924,0,0,0,0.0282195997948,0,0
